timestamp,calibration_percent,is_artifacted_sequence,mental_param_1,mental_param_2,mental_param_3,spectral_delta,spectral_theta,spectral_alpha,spectral_beta,spectral_gamma,attention_state
2025-05-19T13:32:38.339536,100,0,21.11698203,0,46.67588046,0,0.138017023,0.430165057,0.431817919,0,Neutral
2025-05-19T13:32:38.344616,100,0,21.18340969,0,46.70815333,0,0.135298606,0.429906002,0.434795392,0,Neutral
2025-05-19T13:32:38.348179,100,0,21.24954524,0,46.74028429,0,0.132802536,0.429590082,0.437607382,0,Neutral
2025-05-19T13:32:38.351288,100,0,21.31556903,0,46.77236095,0,0.130521383,0.429233263,0.440245354,0,Neutral
2025-05-19T13:32:38.398269,100,0,21.38180897,0,46.80454262,0,0.128452193,0.428841783,0.442706024,0,Neutral
2025-05-19T13:32:38.453835,100,0,21.44854269,0,46.83696419,0,0.126579296,0.428424744,0.44499596,0,Neutral
2025-05-19T13:32:38.519116,100,0,21.5160366,0,46.86975508,0,0.124914247,0.427979186,0.447106567,0,Neutral
2025-05-19T13:32:38.691642,100,0,21.58442135,0,46.90297878,0,0.123396483,0.427545866,0.449057651,0,Neutral
2025-05-19T13:32:38.699228,100,0,21.65396203,0,46.93676406,0,0.122051835,0.427101108,0.450847057,0,Neutral
2025-05-19T13:32:38.702701,100,0,21.72506063,0,46.97130624,0,0.120868839,0.426646473,0.452484688,0,Neutral
2025-05-19T13:32:38.711079,100,0,21.7979682,0,47.00672728,0,0.119823087,0.426210356,0.453966557,0,Neutral
2025-05-19T13:32:38.758823,100,0,21.95044266,0,47.08080469,0,0.11811541,0.425385878,0.456498711,0,Neutral
2025-05-19T13:32:38.814179,100,0,22.03061583,0,47.11975561,0,0.117438048,0.425010321,0.457551631,0,Neutral
2025-05-19T13:32:38.873593,100,0,22.11378422,0,47.16016171,0,0.116843815,0.424674537,0.458481649,0,Neutral
2025-05-19T13:32:38.876599,100,0,22.20020106,0,47.20214602,0,0.116347796,0.424362669,0.459289535,0,Neutral
2025-05-19T13:32:38.994824,100,0,22.29009253,0,47.24581843,0,0.115930949,0.42409476,0.45997429,0,Neutral
2025-05-19T13:32:39.002074,100,0,22.38362805,0,47.29126125,0,0.11559139,0.423872508,0.460536102,0,Neutral
2025-05-19T13:32:39.055673,100,0,22.58258587,0,47.38792189,0,0.115037912,0.423589123,0.461372966,0,Neutral
2025-05-19T13:32:39.115190,100,0,22.68857971,0,47.4394174,0,0.114797719,0.423547297,0.461654984,0,Neutral
2025-05-19T13:32:39.177089,100,0,22.79908986,0,47.49310707,0,0.114581736,0.423560405,0.461857859,0,Neutral
2025-05-19T13:32:39.234081,100,0,23.03400869,0,47.60723883,0,0.114183424,0.423762248,0.462054328,0,Neutral
2025-05-19T13:32:39.237018,100,0,23.1584829,0,47.66771274,0,0.114018626,0.423947189,0.462034184,0,Neutral
2025-05-19T13:32:39.293452,100,0,23.28764168,0,47.73046258,0,0.113839154,0.424205614,0.461955232,0,Neutral
2025-05-19T13:32:39.296413,100,0,23.4213124,0,47.79540447,0,0.113623364,0.424561841,0.461814795,0,Neutral
2025-05-19T13:32:39.414283,100,0,23.55940412,0,47.86249424,0,0.113411365,0.424987555,0.46160108,0,Neutral
2025-05-19T13:32:39.477274,100,0,23.70173142,0,47.93164181,0,0.113182757,0.425485429,0.461331814,0,Neutral
2025-05-19T13:32:39.533810,100,0,23.84809009,0,48.00274795,0,0.112932592,0.426062155,0.461005253,0,Neutral
2025-05-19T13:32:39.652688,100,0,23.99825154,0,48.07570161,0,0.112660321,0.426714181,0.460625498,0,Neutral
2025-05-19T13:32:39.655285,100,0,24.15193084,0,48.15036437,0,0.112363965,0.427435503,0.460200531,0,Neutral
2025-05-19T13:32:39.714700,100,0,24.30859742,0,48.22647846,0,0.112047188,0.428239024,0.459713789,0,Neutral
2025-05-19T13:32:39.722611,100,0,24.46764144,0,48.30374759,0,0.11170165,0.429140947,0.459157403,0,Neutral
